Team,FIP-,xFIP-,diff
ARI,98.66666666666667,110.83333333333333,-12.166666666666666
ATL,136.5,100.16666666666667,36.333333333333336
BAL,118.4,105.4,13.0
BOS,86.0,102.2,-16.2
CHC,137.6,115.4,22.2
CHW,81.6,90.8,-9.2
CIN,101.6,92.0,9.6
CLE,133.2,103.2,30.0
COL,101.4,109.4,-8.0
DET,116.16666666666667,123.0,-6.833333333333333
HOU,94.0,111.6,-17.6
KCR,101.0,102.8,-1.8
LAA,99.16666666666667,86.33333333333333,12.833333333333334
LAD,74.8,70.6,4.2
MIA,114.8,115.0,-0.2
MIL,74.4,74.6,-0.2
MIN,118.8,108.2,10.6
NYM,70.5,71.25,-0.75
NYY,89.0,91.4,-2.4
OAK,104.0,102.6,1.4
PHI,101.8,104.4,-2.6
PIT,120.2,107.4,12.8
SDP,76.0,83.4,-7.4
SEA,115.6,120.2,-4.6
SFG,75.5,83.66666666666667,-8.166666666666666
STL,86.8,97.2,-10.4
TBR,90.2,95.8,-5.6
TEX,116.4,111.6,4.8
TOR,101.75,99.5,2.25
WSN,131.8,112.0,19.8
